,id,time,pstime,mag
0,1,2015-01-01T11:58:16.248571Z,3.79,1.003911744268542
1,6,2015-01-02T15:52:43.041429Z,1.53,1.078128520948355
2,8,2015-01-03T04:44:41.618571Z,6.45,1.826694645658442
3,11,2015-01-03T11:15:44.580000Z,5.81,1.4518824397056629
4,13,2015-01-03T13:47:16.364286Z,4.52,1.5906078923367586
5,15,2015-01-04T13:02:16.554286Z,6.9,1.164143555283348
6,16,2015-01-04T17:03:43.260000Z,5.67,1.209247732351591
7,18,2015-01-05T04:04:10.954286Z,4.59,1.175815192010396
8,22,2015-01-06T10:54:04.445714Z,5.7,1.9558080008683656
9,24,2015-01-06T18:33:27.774286Z,1.58,1.3143386818932117
10,25,2015-01-06T23:50:50.872857Z,5.58,1.08183721437923
11,28,2015-01-07T22:16:31.450000Z,4.9,2.00675023593112
12,32,2015-01-08T17:17:05.257143Z,4.43,1.5400540632768722
13,33,2015-01-08T17:20:31.450000Z,4.41,1.1980996605920444
14,42,2015-01-10T00:06:37.167143Z,2.61,1.0061968723328558
15,47,2015-01-11T08:18:15.595714Z,4.44,1.5250040969367462
16,51,2015-01-12T07:49:20.320000Z,4.13,1.1012815714877926
17,54,2015-01-14T07:27:51.675714Z,5.77,1.6389675199163296
18,63,2015-01-16T23:46:29.724286Z,5.57,1.0063970600220993
19,65,2015-01-17T16:13:35.701429Z,5.38,1.0493524243643182
20,66,2015-01-17T21:13:32.164286Z,6.34,1.5681397761917693
21,69,2015-01-18T13:23:44.558571Z,5.61,3.5777303065510635
22,71,2015-01-18T13:59:44.854286Z,5.85,1.0097708400497347
23,73,2015-01-18T15:52:26.591429Z,5.52,1.3561571233496152
24,74,2015-01-18T17:34:12.861429Z,5.45,1.0806619640073545
25,76,2015-01-18T22:08:48.810000Z,5.39,1.421040599475056
26,77,2015-01-19T00:34:59.182857Z,6.49,1.0500778336745096
27,90,2015-01-21T17:52:18.520000Z,6.02,1.358622361427426
28,93,2015-01-22T05:50:20.848571Z,2.25,1.5776737124242868
29,98,2015-01-22T15:53:57.842857Z,5.79,1.736529513397835
30,100,2015-01-23T17:07:31.825714Z,1.57,1.0042843543324005
31,101,2015-01-23T23:48:45.787143Z,6.6,1.202445663372099
32,102,2015-01-24T02:47:15.771429Z,4.4,1.3108533006844438
33,103,2015-01-24T10:59:57.191429Z,3.0,1.7328545950600651
34,105,2015-01-25T08:44:46.557143Z,5.06,1.006805816025442
35,106,2015-01-25T10:52:49.442857Z,6.56,1.3021489289253574
36,107,2015-01-25T11:43:07.972857Z,6.21,1.0893925064750898
37,109,2015-01-25T17:37:22.831429Z,6.64,1.9428111447560208
38,110,2015-01-25T20:19:04.374286Z,5.57,2.185283867353492
39,118,2015-01-29T12:05:45.484286Z,6.41,1.287243527313384
40,126,2015-02-01T22:58:54.781429Z,4.96,1.0064345688205183
41,127,2015-02-02T00:24:01.595714Z,6.96,1.2039015375804405
42,129,2015-02-02T03:22:16.327143Z,5.34,1.4847540360509617
43,133,2015-02-03T01:07:59.968571Z,1.48,1.2381195188962195
44,139,2015-02-04T12:26:51.237143Z,6.67,1.345404131892402
45,147,2015-02-06T20:28:37.792857Z,3.9,1.740913717058749
46,148,2015-02-06T20:58:44.067143Z,4.01,1.2446033167780417
47,151,2015-02-07T14:05:59.732857Z,6.35,3.175924301251814
48,152,2015-02-07T14:09:11.875714Z,6.19,1.2462412603258215
49,153,2015-02-07T18:46:18.230000Z,6.16,1.7146624440638782
50,154,2015-02-07T21:31:34.754286Z,5.22,2.001971147377306
51,159,2015-02-09T01:55:12.721429Z,6.15,1.1199393770747428
52,160,2015-02-09T10:39:51.105714Z,2.9,1.0920994802115171
53,162,2015-02-09T18:36:45.390000Z,5.88,1.0713468334710423
54,164,2015-02-10T10:33:51.041429Z,5.38,1.0409363540889482
55,169,2015-02-11T14:54:17.742857Z,2.43,1.2481874746458606
56,170,2015-02-11T21:19:10.200000Z,1.89,1.6476787010118938
57,171,2015-02-12T06:41:47.497143Z,2.05,1.1047639008827108
58,173,2015-02-13T02:04:10.474286Z,6.27,1.6067556361772526
59,174,2015-02-14T05:57:52.891429Z,6.57,1.2047746825631085
60,175,2015-02-14T06:11:48.997143Z,6.6,1.3965542310241836
61,176,2015-02-14T09:15:45.598571Z,6.52,1.6191731362150446
62,183,2015-02-16T14:30:49.664286Z,6.34,1.2149981973699262
63,184,2015-02-16T16:46:44.961429Z,5.94,1.3232218721198952
64,185,2015-02-16T22:43:40.302857Z,6.7,1.5765356809877076
65,191,2015-02-18T03:09:11.187143Z,4.57,1.1632700649257783
66,194,2015-02-18T17:08:48.962857Z,4.74,1.864159270737718
67,196,2015-02-19T01:19:23.232857Z,6.49,1.1385233723408232
68,198,2015-02-20T21:54:44.312857Z,5.93,1.5777303389563493
69,199,2015-02-21T07:38:36.005714Z,6.05,1.439730726447384
70,204,2015-02-24T03:19:59.431429Z,6.15,1.2336346950495312
71,205,2015-02-24T14:38:20.828571Z,3.79,1.916298114820589
72,207,2015-02-24T18:14:24.447143Z,5.06,2.1425424384209704
73,211,2015-02-25T22:46:10.457143Z,4.29,1.2979409607310883
74,216,2015-02-26T18:50:49.397143Z,5.9,1.2367396332359624
75,221,2015-02-27T08:47:11.885714Z,3.04,1.009348019093263
76,224,2015-02-28T01:18:58.500000Z,3.15,1.3650897363856678
77,226,2015-02-28T19:59:33.564286Z,3.05,1.0390418266133337
78,227,2015-02-28T21:22:51.280000Z,5.88,1.3158885507797056
79,233,2015-03-01T16:39:18.692857Z,4.32,1.1526623255638109
80,234,2015-03-01T17:28:16.034286Z,5.22,1.0131089780360762
81,236,2015-03-02T05:22:25.868571Z,5.54,1.4354450928825162
82,238,2015-03-02T08:05:11.834286Z,6.69,1.0051438077034491
83,241,2015-03-03T08:34:02.834286Z,6.55,1.436485463254067
84,242,2015-03-03T11:28:05.144286Z,5.71,1.175222664506202
85,243,2015-03-03T16:23:31.902857Z,6.0,1.1160115961701578
86,246,2015-03-05T03:17:25.644286Z,6.9,1.2307124471449349
87,251,2015-03-05T15:39:27.718571Z,5.68,1.036083938312918
88,252,2015-03-05T21:41:56.312857Z,4.81,1.126066493284105
89,254,2015-03-06T05:32:49.700000Z,6.65,1.541807669032789
90,256,2015-03-06T15:51:16.470000Z,6.58,2.251729393119319
91,257,2015-03-06T17:01:44.220000Z,4.69,1.254579580314533
92,258,2015-03-07T10:36:59.841429Z,5.03,1.2614816991033164
93,259,2015-03-07T11:46:18.645714Z,5.07,1.0968874955088883
94,266,2015-03-09T19:49:59.724286Z,2.84,2.27392075389453
95,267,2015-03-09T20:14:51.117143Z,2.82,2.1216185163709973
96,270,2015-03-10T19:59:42.408571Z,5.19,1.221926776597983
97,272,2015-03-11T17:02:45.567143Z,1.42,1.630439918574481
98,274,2015-03-12T11:01:45.530000Z,6.79,1.1673519246469053
99,275,2015-03-12T17:35:02.510000Z,5.39,1.36964080667751
100,276,2015-03-12T19:34:00.317143Z,5.34,1.5095097646792637
101,277,2015-03-13T02:11:50.012857Z,4.53,1.4054358731562384
102,280,2015-03-13T23:26:43.757143Z,2.61,1.6122964879149475
103,292,2015-03-18T11:21:16.195714Z,6.47,1.305708115961323
104,296,2015-03-19T15:52:16.890000Z,6.37,1.5201352865712483
105,297,2015-03-20T00:10:17.410000Z,6.51,1.001470095382345
106,299,2015-03-20T05:40:52.600000Z,6.37,1.0630269850915168
107,306,2015-03-22T04:37:37.842857Z,6.14,1.5993878065398013
108,309,2015-03-22T10:59:47.017143Z,5.9,1.1635912984470005
109,314,2015-03-23T06:30:19.011429Z,6.71,1.528651082426265
110,315,2015-03-23T10:05:22.207143Z,2.05,1.5434213442032585
111,317,2015-03-24T12:28:57.587143Z,6.32,1.6862081316865791
112,318,2015-03-24T20:57:02.511429Z,2.51,1.431173664368667
113,320,2015-03-25T13:13:39.188571Z,1.55,1.001550000129558
114,321,2015-03-25T13:53:16.104286Z,2.14,1.1527031776452552
115,323,2015-03-26T14:49:34.490000Z,3.85,1.828125166547998
116,325,2015-03-27T08:13:58.065714Z,2.41,1.0167909683353162
117,326,2015-03-27T08:49:12.170000Z,2.45,1.2962164381554755
118,328,2015-03-27T14:20:52.938571Z,5.96,1.1369760140626823
119,332,2015-03-28T05:50:53.838571Z,6.45,1.1747113269983556
120,333,2015-03-29T03:00:26.861429Z,6.22,1.126738994458846
121,334,2015-03-29T13:03:07.545714Z,6.4,1.211198212322848
122,335,2015-03-30T03:50:31.008571Z,6.24,1.1692260760347046
123,343,2015-04-02T14:10:18.737143Z,5.06,1.2772455416893589
124,344,2015-04-02T19:11:58.544286Z,4.8,1.249752629664337
125,346,2015-04-03T07:16:49.524286Z,3.82,1.8705270036443515
126,347,2015-04-03T09:41:23.984286Z,2.56,1.2592043832182682
127,350,2015-04-03T22:56:44.984286Z,5.01,1.9474205376498557
128,351,2015-04-03T22:59:46.788571Z,5.05,1.2582100487788268
129,354,2015-04-04T05:25:53.817143Z,6.32,1.8951208093160092
130,358,2015-04-05T12:56:55.831429Z,2.51,2.237561504549673
131,359,2015-04-06T02:23:34.427143Z,6.88,1.7534059527202237
132,361,2015-04-07T04:47:51.077143Z,5.06,1.308823244553985
133,365,2015-04-08T22:11:53.848571Z,2.53,1.1894525650762413
134,366,2015-04-09T06:52:54.842857Z,4.67,1.0089815556331108
135,377,2015-04-11T04:22:03.104286Z,5.85,2.624770644929058
136,380,2015-04-11T09:25:58.640000Z,2.45,1.153607137669303
137,384,2015-04-12T01:40:47.661429Z,6.36,1.026560399751761
138,387,2015-04-12T14:57:00.948571Z,5.82,1.5731015313860377
139,391,2015-04-13T04:07:26.914286Z,1.58,1.3932818929954318
140,392,2015-04-13T17:56:17.064286Z,6.13,1.1746711129866625
141,393,2015-04-14T11:35:26.164286Z,5.78,1.231071553179533
142,397,2015-04-16T01:36:03.104286Z,5.99,1.0028917611997272
143,399,2015-04-18T07:03:27.427143Z,6.39,1.014496395017379
144,401,2015-04-19T04:53:20.184286Z,2.91,1.2599012656302042
145,402,2015-04-19T05:28:42.882857Z,6.91,1.0150981332734073
146,404,2015-04-19T14:55:31.164286Z,6.2,1.6577909602401597
147,407,2015-04-20T01:15:05.287143Z,3.94,1.8752768621002784
148,414,2015-04-20T19:26:00.294286Z,2.42,1.9196039113454133
149,420,2015-04-21T23:41:54.048571Z,2.53,1.5459723721328664
150,429,2015-04-24T23:53:04.782857Z,1.59,1.1616407409518967
151,430,2015-04-25T02:11:10.450000Z,5.53,1.1265534801235486
152,431,2015-04-25T03:02:17.430000Z,4.48,1.0503808045068508
153,433,2015-04-25T10:33:15.260000Z,3.92,2.339799176699776
154,434,2015-04-25T11:02:15.075714Z,4.23,1.103258117983145
155,435,2015-04-26T00:03:15.072857Z,2.64,1.4367299422235034
156,436,2015-04-26T02:18:35.010000Z,2.52,1.3951908926702286
157,437,2015-04-26T08:32:24.320000Z,6.37,1.3301622391600263
158,438,2015-04-27T01:14:57.648571Z,6.94,1.0970640649627643
159,441,2015-04-27T19:20:12.668571Z,4.91,1.385614771567731
160,445,2015-04-28T13:00:20.210000Z,5.81,1.4575824106900237
161,446,2015-04-28T19:40:54.617143Z,5.76,1.8007637516836874
162,451,2015-04-29T08:31:38.860000Z,4.06,1.1120838931135255
163,454,2015-04-30T11:27:55.028571Z,5.33,1.1521573304607386
164,455,2015-04-30T13:23:48.354286Z,6.13,1.5156648002863156
165,456,2015-05-01T14:50:53.070000Z,2.94,1.049282513547502
166,458,2015-05-02T14:17:19.417143Z,4.99,1.4933337983737731
167,459,2015-05-03T00:56:33.391429Z,1.53,1.814083400879527
168,465,2015-05-04T08:55:38.141429Z,1.6,1.3649757068618955
169,469,2015-05-05T05:43:51.322857Z,6.98,1.700152385074207
170,472,2015-05-05T20:16:11.175714Z,1.64,1.3057635628287922
171,473,2015-05-06T00:56:47.025714Z,6.82,1.3321954211495748
172,474,2015-05-06T07:39:48.140000Z,4.62,3.4260104754451297
173,476,2015-05-06T08:42:19.918571Z,4.84,1.218816504974514
174,477,2015-05-06T09:19:32.605714Z,4.79,2.312307999306975
175,482,2015-05-08T10:54:36.124286Z,6.83,2.008758292448915
176,483,2015-05-08T13:44:18.112857Z,6.91,1.43517954143402
177,484,2015-05-08T15:13:26.885714Z,2.97,1.2305104015225614
178,485,2015-05-08T20:18:10.305714Z,5.91,1.2067428716656083
179,487,2015-05-09T16:20:34.327143Z,5.06,1.1874704217953778
180,490,2015-05-10T14:48:14.175714Z,1.99,1.0149077999775913
181,491,2015-05-10T16:45:05.131429Z,5.45,1.1293235370678505
182,498,2015-05-12T14:36:07.710000Z,4.9,1.1306341279742929
183,500,2015-05-12T21:18:47.398571Z,2.18,1.3223068469339363
184,501,2015-05-12T22:31:26.532857Z,1.52,1.0415650691363876
185,502,2015-05-13T04:42:22.548571Z,5.05,1.0159572580804066
186,505,2015-05-14T04:02:16.051429Z,5.94,1.1152543603993834
187,509,2015-05-15T05:47:34.731429Z,6.36,1.7794613070175571
188,512,2015-05-15T09:41:50.925714Z,2.83,1.6171628520376014
189,513,2015-05-15T10:52:34.100000Z,1.61,1.084709360469407
190,514,2015-05-15T16:52:01.550000Z,6.44,2.273484488559589
191,515,2015-05-16T02:04:10.632857Z,1.52,1.5065747099578055
192,523,2015-05-17T16:29:05.152857Z,1.59,1.129268796527135
193,524,2015-05-18T01:15:42.761429Z,2.93,1.5439006455353304
194,531,2015-05-19T11:39:20.001429Z,6.36,2.124126770601625
195,537,2015-05-22T04:44:13.858571Z,5.96,1.8315277524161735
196,538,2015-05-22T16:22:07.292857Z,6.21,1.617760813245644
197,546,2015-05-24T10:15:47.890000Z,6.72,1.0145522435933976
198,547,2015-05-25T00:17:42.377143Z,5.83,1.2186615342266762
199,551,2015-05-28T09:47:07.385714Z,6.12,1.053852250653197
200,553,2015-05-28T10:39:35.601429Z,3.21,1.7099763677033646
201,557,2015-05-28T19:30:21.394286Z,3.19,1.3404791436467942
202,566,2015-05-30T14:03:38.535714Z,4.51,1.0972316447094748
203,568,2015-05-31T13:02:58.355714Z,6.05,3.876683231392135
204,569,2015-05-31T13:40:54.915714Z,6.12,1.422809538572008
205,570,2015-05-31T13:56:13.742857Z,6.14,1.7736749236645333
206,571,2015-05-31T14:01:53.711429Z,6.15,1.1988997614911625
207,572,2015-05-31T15:44:55.117143Z,6.04,1.3993329166350452
208,573,2015-05-31T18:01:21.087143Z,6.88,2.0115576874114427
209,577,2015-06-01T21:58:30.034286Z,5.99,1.4661743820270907
210,579,2015-06-02T20:04:52.031429Z,3.98,1.2836606403790831
211,580,2015-06-03T06:06:18.320000Z,5.88,1.188198988950534
212,582,2015-06-03T16:16:24.430000Z,3.85,1.6759054328440128
213,583,2015-06-03T18:25:30.757143Z,1.56,1.397411023784642
214,584,2015-06-03T23:01:04.674286Z,4.73,1.063143728698677
215,585,2015-06-04T04:17:00.062857Z,3.83,1.956369319378611
216,586,2015-06-04T08:45:36.192857Z,5.58,2.048148331428872
217,589,2015-06-04T17:04:42.302857Z,1.59,1.0556906036538662
218,590,2015-06-04T18:26:28.391429Z,3.84,1.851347172142802
219,594,2015-06-05T08:58:32.884286Z,1.58,1.1622836012478186
220,595,2015-06-05T09:01:32.685714Z,6.68,1.0628795314858162
221,596,2015-06-06T10:16:46.488571Z,5.61,2.039721975753391
222,598,2015-06-07T05:40:38.588571Z,5.96,1.0960414184585772
