,id,time,pstime,mag
0,6,2015-01-03T09:49:12.852857Z,6.84,1.82546352615367
1,8,2015-01-03T13:47:15.765714Z,3.39,1.6771432765649754
2,13,2015-01-04T17:03:43.717143Z,6.32,1.021639032891057
3,15,2015-01-06T10:54:04.131429Z,6.85,1.425879122222664
4,20,2015-01-07T22:16:30.808571Z,3.3,1.3245574298423242
5,22,2015-01-08T17:17:05.782857Z,5.51,1.1827899990252535
6,30,2015-01-11T08:18:16.207143Z,5.48,1.1856686403533556
7,33,2015-01-12T09:54:05.747143Z,6.74,1.1348421523105914
8,36,2015-01-14T07:56:53.700000Z,3.08,1.4316279758071273
9,40,2015-01-15T13:21:08.150000Z,6.44,1.2823812549119769
10,47,2015-01-17T01:20:16.037143Z,6.74,1.0398078602246696
11,51,2015-01-18T13:23:44.157143Z,3.87,3.3229022338398586
12,52,2015-01-18T13:24:38.892857Z,3.97,1.850589888568161
13,57,2015-01-19T16:36:46.130000Z,4.41,1.989354621059014
14,59,2015-01-20T10:14:21.390000Z,6.16,1.3413161818669406
15,62,2015-01-22T05:50:20.878571Z,3.23,1.2368325360159886
16,68,2015-01-24T10:59:57.488571Z,3.86,2.248671377637274
17,72,2015-01-25T20:19:03.955714Z,3.88,1.8209994578527648
18,78,2015-01-28T08:01:45.452857Z,3.34,1.046752170852159
19,82,2015-01-30T08:19:23.750000Z,5.39,1.1741535214505323
20,90,2015-02-01T11:01:15.311429Z,6.64,1.5809273650867082
21,93,2015-02-02T03:22:16.457143Z,6.74,1.2741487430730456
22,98,2015-02-04T12:26:51.325714Z,6.61,1.0230401463948398
23,104,2015-02-06T20:28:37.055714Z,2.62,1.262786785683203
24,107,2015-02-07T14:05:59.158571Z,4.77,2.5231927283884663
25,110,2015-02-07T18:46:17.610000Z,4.62,1.1692193974389795
26,111,2015-02-07T21:31:34.872857Z,5.02,1.43862262984721
27,113,2015-02-09T05:45:02.298571Z,6.87,1.6167211677800155
28,114,2015-02-09T10:39:51.262857Z,3.83,1.4597688810878475
29,123,2015-02-11T21:19:10.474286Z,3.4,1.0238796733915083
30,125,2015-02-13T03:59:49.487143Z,4.57,1.14140350990704
31,130,2015-02-14T10:26:57.375714Z,5.56,1.2191833120922455
32,135,2015-02-15T19:43:43.340000Z,6.23,1.0192540880466443
33,142,2015-02-18T17:08:49.372857Z,6.07,1.5360530994434434
34,148,2015-02-24T16:14:50.441429Z,6.71,1.2856971162262345
35,149,2015-02-24T18:14:24.671429Z,6.71,1.653894253392133
36,155,2015-02-25T22:46:10.838571Z,5.96,1.5266599355539177
37,159,2015-02-28T02:54:00.614286Z,5.92,1.0088715141308373
38,163,2015-03-01T00:20:31.465714Z,6.96,1.3778310476137303
39,171,2015-03-02T08:24:59.190000Z,5.46,1.553571529169523
40,176,2015-03-03T16:23:31.318571Z,4.42,1.0083681049400353
41,214,2015-03-09T19:49:59.970000Z,3.92,1.7985314470253708
42,215,2015-03-09T20:14:51.288571Z,3.93,1.6914332018834772
43,225,2015-03-12T19:34:00.505714Z,6.54,1.170269619121434
44,232,2015-03-14T23:21:00.374286Z,6.9,1.844635668645528
45,233,2015-03-15T05:02:02.350000Z,5.67,1.1676676013410874
46,246,2015-03-18T02:16:19.335714Z,6.54,1.0789830299420426
47,257,2015-03-21T16:01:27.515714Z,6.54,1.692846183428225
48,260,2015-03-22T04:37:38.340000Z,6.93,1.1308601532605935
49,264,2015-03-22T21:04:18.938571Z,5.12,1.9706115484705655
50,266,2015-03-23T06:30:19.392857Z,6.42,1.1265767737403851
51,267,2015-03-23T10:05:22.284286Z,3.4,1.0647841159549143
52,276,2015-03-24T14:49:53.071429Z,6.5,1.7224732182476554
53,282,2015-03-25T15:47:50.581429Z,5.45,1.5404064458046491
54,285,2015-03-26T14:49:34.551429Z,3.21,1.0690173524395408
55,290,2015-03-28T05:54:49.700000Z,5.95,1.7123289815976284
56,307,2015-04-02T14:10:18.927143Z,6.81,1.3645043158201022
57,315,2015-04-03T22:56:45.328571Z,6.59,1.7374990806139716
58,318,2015-04-04T12:46:30.301429Z,6.92,1.0188515866460597
59,324,2015-04-06T02:23:34.050000Z,5.18,1.4564259657982288
60,330,2015-04-07T04:47:51.644286Z,6.48,1.0551781088279029
61,335,2015-04-08T10:49:10.202857Z,2.43,1.9322473086455028
62,338,2015-04-08T22:11:54.040000Z,3.57,1.1002427836325015
63,339,2015-04-09T06:52:54.444286Z,3.33,1.0263188502482423
64,357,2015-04-12T13:58:51.911429Z,5.94,1.0856055869991763
65,374,2015-04-19T04:53:20.435714Z,4.23,1.3228341063264253
66,376,2015-04-20T00:54:08.725714Z,6.82,1.1134985454858997
67,377,2015-04-20T01:15:05.727143Z,4.15,1.2585898461175629
68,386,2015-04-22T21:58:47.572857Z,6.14,1.398696328997391
69,391,2015-04-24T20:02:40.287143Z,5.27,1.0702198633164133
70,393,2015-04-25T10:33:15.280000Z,3.36,1.100480861916341
71,398,2015-04-26T16:05:49.255714Z,6.12,1.057760622651868
72,419,2015-05-02T14:17:19.675714Z,6.12,1.2640345319890387
73,422,2015-05-03T08:19:10.655714Z,2.97,1.165446947997052
74,427,2015-05-04T21:42:31.250000Z,6.79,1.862626924972172
75,433,2015-05-06T07:39:48.431429Z,6.29,3.62247245366034
76,435,2015-05-06T08:42:20.671429Z,6.15,1.112348460489882
77,436,2015-05-06T09:19:33.237143Z,6.18,2.493549282372273
78,438,2015-05-06T14:48:28.294286Z,3.75,1.5813747901806754
79,441,2015-05-08T15:13:27.312857Z,4.32,1.0556510508721877
80,443,2015-05-10T16:45:05.732857Z,6.77,1.0187386335538116
81,448,2015-05-11T13:37:54.087143Z,6.04,1.0412966818348302
