,id,time,pstime,mag
0,4,2015-01-01T16:23:44.168571Z,6.03,1.0216748601797754
1,9,2015-01-03T04:44:40.964286Z,4.94,1.3365788357738904
2,12,2015-01-03T09:49:11.778571Z,4.07,1.9742120425998908
3,15,2015-01-03T13:47:16.381429Z,4.75,1.8872663659287183
4,16,2015-01-03T22:05:40.775714Z,4.02,1.2218636590224063
5,17,2015-01-03T23:50:32.222857Z,6.91,1.5861108055610689
6,23,2015-01-04T10:01:23.135714Z,6.82,1.13800029990056
7,29,2015-01-05T09:59:59.684286Z,3.96,1.2286607588296652
8,39,2015-01-07T13:57:53.340000Z,5.32,1.2672336566336715
9,40,2015-01-07T20:30:50.775714Z,2.27,1.3137406410211585
10,41,2015-01-07T22:16:31.432857Z,6.21,1.3174272887470728
11,44,2015-01-08T15:26:11.547143Z,3.94,1.6144323838696952
12,45,2015-01-08T17:17:05.707143Z,5.34,1.3203873479742758
13,46,2015-01-08T17:20:31.867143Z,5.34,1.9205664625568144
14,47,2015-01-08T19:46:21.585714Z,3.95,1.714240989867649
15,48,2015-01-08T21:57:01.602857Z,3.97,1.0287260215501304
16,50,2015-01-09T06:03:34.377143Z,3.94,1.2747986872872772
17,56,2015-01-09T13:54:19.034286Z,5.57,1.3794685273344105
18,57,2015-01-09T14:19:04.145714Z,5.56,1.3938782741960445
19,59,2015-01-09T15:12:25.631429Z,4.26,1.4049504669668136
20,62,2015-01-09T18:23:46.895714Z,6.4,1.9512472970565904
21,68,2015-01-10T23:29:03.905714Z,4.51,2.455232614939913
22,71,2015-01-11T08:18:16.110000Z,5.32,1.48273767946185
23,72,2015-01-11T13:06:01.441429Z,5.1,1.154227564207566
24,79,2015-01-13T22:25:09.767143Z,3.87,1.26574118562353
25,83,2015-01-14T07:27:51.761429Z,6.5,1.1603178755970045
26,84,2015-01-14T07:56:53.530000Z,2.24,1.7391443388684784
27,93,2015-01-15T11:49:02.235714Z,2.27,1.1147346151552655
28,98,2015-01-15T15:51:05.825714Z,4.3,1.660018880288923
29,99,2015-01-15T16:11:06.218571Z,4.91,1.114555634704266
30,101,2015-01-15T19:11:44.515714Z,2.13,1.0148058310983474
31,102,2015-01-16T01:14:15.412857Z,6.35,1.2560954564438571
32,103,2015-01-16T08:55:02.871429Z,2.51,1.5492591691569657
33,110,2015-01-16T18:47:45.610000Z,2.73,1.2158752481026456
34,112,2015-01-17T05:37:40.815714Z,5.63,1.128725777138061
35,114,2015-01-17T21:13:31.392857Z,4.95,1.2838827140322309
36,118,2015-01-18T13:23:44.797143Z,6.39,3.3610512222336597
37,121,2015-01-18T14:36:46.941429Z,6.57,1.396606114701945
38,122,2015-01-18T15:52:26.805714Z,6.33,2.052886912903793
39,123,2015-01-18T16:46:27.451429Z,6.57,1.3389192019743483
40,127,2015-01-19T06:25:34.877143Z,6.53,1.0295821686356377
41,130,2015-01-19T10:19:29.742857Z,6.98,1.416416388124606
42,146,2015-01-22T09:46:34.068571Z,6.8,1.5089455172174933
43,150,2015-01-22T12:58:08.751429Z,4.47,1.246489491394096
44,151,2015-01-22T15:53:57.425714Z,4.86,2.0169320089876783
45,157,2015-01-23T15:52:33.212857Z,2.71,1.1369062297239076
46,159,2015-01-23T21:14:52.527143Z,5.06,1.9914314741083892
47,160,2015-01-23T23:48:45.598571Z,4.98,1.503513237278167
48,161,2015-01-24T02:47:16.327143Z,6.32,1.7951144126388154
49,163,2015-01-25T02:05:45.467143Z,5.55,1.5538325625628155
50,166,2015-01-25T08:44:47.051429Z,6.78,1.323792081746543
51,169,2015-01-25T17:37:22.674286Z,5.15,2.421546368615266
52,170,2015-01-25T20:19:04.667143Z,6.32,1.713631180788072
53,172,2015-01-26T07:45:10.604286Z,6.41,1.9129951617138063
54,173,2015-01-26T09:13:50.717143Z,6.04,1.303566563843506
55,174,2015-01-26T10:22:06.055714Z,2.06,1.2257872225224786
56,175,2015-01-26T10:22:35.738571Z,2.04,1.2999654135808163
57,179,2015-01-27T16:20:58.957143Z,6.67,1.0557732295015965
58,181,2015-01-28T10:22:30.811429Z,5.1,1.241984900489011
59,193,2015-01-31T05:45:17.955714Z,4.16,1.152572873445724
60,195,2015-01-31T10:40:22.750000Z,2.03,1.005031054925734
61,202,2015-02-01T15:54:33.304286Z,6.48,2.0387369051742965
62,203,2015-02-01T16:32:08.512857Z,6.56,2.294727874992684
63,204,2015-02-01T17:53:32.764286Z,3.96,1.7499494012275971
64,205,2015-02-01T22:08:40.585714Z,5.63,2.0432099036769253
65,207,2015-02-02T03:22:15.977143Z,3.66,1.5596170773579163
66,209,2015-02-02T09:54:21.727143Z,5.48,1.1990538133595685
67,210,2015-02-02T17:26:25.318571Z,3.37,1.0660558430185518
68,211,2015-02-02T18:40:13.955714Z,5.28,1.6638915451022676
69,214,2015-02-03T02:00:50.545714Z,4.02,1.04185760056859
70,215,2015-02-03T02:55:26.864286Z,4.45,1.049635531281402
71,219,2015-02-03T18:14:42.060000Z,5.39,1.9020415721014603
72,222,2015-02-04T02:02:59.495714Z,5.49,1.6001346229278264
73,228,2015-02-04T12:26:50.614286Z,5.15,1.089531243096031
74,229,2015-02-04T23:00:59.174286Z,5.29,1.4005964787809615
75,230,2015-02-05T04:09:20.095714Z,4.44,1.4545395102324494
76,231,2015-02-05T09:10:25.708571Z,5.33,1.1404044666113438
77,232,2015-02-05T20:00:04.900000Z,5.25,1.251784311286203
78,233,2015-02-06T02:10:26.267143Z,4.85,1.6138063769360167
79,234,2015-02-06T03:29:36.964286Z,5.36,1.4098498237568735
80,236,2015-02-06T12:00:41.231429Z,4.19,1.1474164951637107
81,240,2015-02-06T20:28:37.597143Z,4.85,1.866629403563858
82,241,2015-02-06T20:58:44.007143Z,4.85,1.6899453113498488
83,242,2015-02-06T22:53:52.700000Z,3.64,1.4602900083527492
84,243,2015-02-06T23:50:58.641429Z,4.89,1.1396727466906735
85,244,2015-02-07T05:08:09.561429Z,5.24,1.1729872488463002
86,246,2015-02-07T08:23:34.507143Z,4.5,1.1156798448810534
87,248,2015-02-07T10:12:43.734286Z,5.29,1.059634581901711
88,252,2015-02-07T17:30:31.415714Z,3.46,1.1231639368873747
89,254,2015-02-08T02:00:55.990000Z,6.09,1.143050700707005
90,259,2015-02-08T09:57:10.338571Z,5.33,1.130922029808874
91,263,2015-02-08T15:04:10.152857Z,5.3,1.7642713477368308
92,264,2015-02-08T15:15:10.058571Z,5.26,1.634254575408089
93,265,2015-02-08T18:26:11.197143Z,5.62,1.6160017601487513
94,266,2015-02-08T20:05:49.410000Z,4.48,1.4093938715535024
95,270,2015-02-09T03:50:15.190000Z,4.41,1.210539895463568
96,271,2015-02-09T10:39:50.855714Z,2.27,1.2359401702610582
97,272,2015-02-09T13:12:51.438571Z,6.45,1.6397486707150386
98,273,2015-02-09T17:52:57.962857Z,1.94,1.1840642294735046
99,277,2015-02-10T10:33:51.215714Z,6.4,1.2792390456701548
100,280,2015-02-10T18:48:46.628571Z,4.0,1.3779577169739097
101,281,2015-02-10T22:11:55.665714Z,6.96,2.1351529260584785
102,283,2015-02-11T12:52:41.324286Z,5.29,1.288108702943816
103,284,2015-02-11T14:54:18.228571Z,3.93,1.4206100204021206
104,285,2015-02-11T15:47:50.897143Z,1.98,1.0832140113810984
105,286,2015-02-11T17:26:52.215714Z,1.99,1.0222028099679914
106,289,2015-02-11T19:57:53.255714Z,1.99,1.275276815867887
107,291,2015-02-11T20:37:55.311429Z,2.02,1.0515708617628443
108,292,2015-02-11T21:19:10.154286Z,2.07,1.6509599218972608
109,295,2015-02-12T06:41:47.498571Z,2.04,1.2964446011224728
110,296,2015-02-13T02:04:10.065714Z,4.23,1.3982077579447298
111,300,2015-02-14T07:05:31.768571Z,5.26,1.0643562062847898
112,302,2015-02-14T07:29:15.051429Z,5.31,1.6003884429636646
113,303,2015-02-14T07:29:40.880000Z,5.32,1.513702138141698
114,304,2015-02-14T08:49:13.137143Z,5.27,1.2785736737697353
115,305,2015-02-14T10:04:05.751429Z,5.24,1.413135655904198
116,306,2015-02-14T12:59:56.984286Z,5.36,1.2933862959982454
117,312,2015-02-14T21:56:22.754286Z,5.08,1.9075963881363016
118,313,2015-02-15T01:55:39.527143Z,6.74,1.488351771378958
119,314,2015-02-15T03:03:06.527143Z,1.98,1.0158891872511888
120,316,2015-02-15T03:08:15.072857Z,2.01,1.3379151182832985
121,319,2015-02-15T17:34:09.592857Z,5.93,1.492940488269212
122,327,2015-02-16T17:12:30.970000Z,6.02,1.0409363540889482
123,331,2015-02-17T12:52:33.580000Z,4.69,1.158111763531937
124,338,2015-02-18T17:08:48.674286Z,3.19,1.9848747210556188
125,340,2015-02-19T01:19:22.708571Z,4.56,1.4892736958957058
126,342,2015-02-20T00:38:08.320000Z,5.18,1.209896178786643
127,348,2015-02-20T08:36:35.930000Z,1.96,1.0241559148665036
128,349,2015-02-20T09:01:56.794286Z,2.0,1.1580146105567637
129,353,2015-02-20T21:54:44.255714Z,4.37,1.4609464372400716
130,356,2015-02-21T07:38:35.505714Z,4.23,1.455654285142599
131,360,2015-02-21T11:55:01.192857Z,3.69,1.106241923035557
132,369,2015-02-23T20:55:51.144286Z,6.06,1.2875036331924403
133,372,2015-02-24T14:38:21.115714Z,5.28,1.533189702867897
134,374,2015-02-24T18:14:24.015714Z,3.53,1.5635427485245676
135,375,2015-02-24T21:41:40.027143Z,6.88,1.3324337996946198
136,377,2015-02-25T06:15:23.814286Z,5.08,1.5722091210132976
137,379,2015-02-25T12:29:54.594286Z,5.22,1.4304163401156558
138,382,2015-02-25T16:42:57.995714Z,6.19,1.1882619026115215
139,388,2015-02-26T01:09:24.542857Z,2.57,1.484086768796309
140,396,2015-02-27T08:47:11.551429Z,2.37,1.147082563086545
141,399,2015-02-27T20:07:51.255714Z,3.67,1.4711662459663384
142,400,2015-02-27T21:15:48.072857Z,4.11,1.6795319871982692
143,401,2015-02-28T01:18:58.371429Z,3.91,1.578921794935488
144,402,2015-02-28T12:07:50.328571Z,1.9,1.09297351090876
145,404,2015-02-28T19:13:51.740000Z,4.41,1.2226199951322294
146,412,2015-03-01T11:13:06.784286Z,5.22,1.4624341560855063
147,417,2015-03-01T16:39:19.051429Z,6.36,1.113262710097101
148,421,2015-03-02T08:24:58.161429Z,3.21,1.027877138708813
149,422,2015-03-02T09:20:02.652857Z,2.78,1.116007387686789
150,430,2015-03-03T16:23:31.921429Z,6.99,1.0603924443081445
