,id,time,pstime,mag
0,3,2015-01-03T04:44:41.152857Z,5.72,1.303326735790805
1,4,2015-01-03T09:49:11.908571Z,4.91,2.5514480831628616
2,7,2015-01-03T11:15:43.932857Z,5.3,1.043983187281324
3,8,2015-01-03T13:47:16.277143Z,4.99,2.292308378967646
4,13,2015-01-04T17:03:42.797143Z,4.92,1.0959360586574165
5,15,2015-01-05T04:04:10.501429Z,3.91,1.8123073844247988
6,16,2015-01-06T10:54:03.905714Z,5.0,1.8791547183113173
7,20,2015-01-07T02:23:13.904286Z,4.66,1.217056928395284
8,26,2015-01-07T22:16:31.391429Z,6.01,1.913649304130032
9,27,2015-01-08T17:17:05.452857Z,4.88,1.1609044348368267
10,44,2015-01-10T23:29:03.682857Z,4.6,2.598506381842708
11,45,2015-01-11T08:18:15.845714Z,4.86,1.1485849809673658
12,52,2015-01-13T09:03:53.285714Z,5.14,1.057453064241079
13,54,2015-01-15T02:35:47.802857Z,6.91,1.4132868953652735
14,56,2015-01-15T13:21:07.660000Z,4.34,1.005049764359932
15,63,2015-01-17T06:21:00.221429Z,6.85,1.0783835174523253
16,65,2015-01-17T21:13:31.377143Z,5.76,1.8742076582280396
17,68,2015-01-18T13:23:44.341429Z,6.64,3.948042501244824
18,69,2015-01-18T13:52:44.492857Z,6.49,1.1926730031273494
19,71,2015-01-18T18:05:05.344286Z,4.31,1.245035720054807
20,72,2015-01-19T20:13:25.775714Z,6.33,1.3804703036932715
21,88,2015-01-24T02:47:15.980000Z,5.74,1.1649252092433564
22,91,2015-01-25T17:37:22.562857Z,5.93,2.077758292082066
23,93,2015-01-27T16:20:59.060000Z,6.51,1.469768077581007
24,94,2015-01-28T04:38:16.472857Z,5.58,1.27356228071413
25,95,2015-01-28T08:01:44.901429Z,2.58,1.462487382038084
26,100,2015-01-31T06:14:30.367143Z,6.6,1.1785664838369336
27,102,2015-01-31T10:40:22.511429Z,2.09,1.1131096664477165
28,108,2015-02-01T16:57:39.347143Z,2.26,1.2172938395369886
29,115,2015-02-03T10:56:14.965714Z,6.96,1.1033449719570567
30,116,2015-02-03T18:56:21.104286Z,6.76,1.620095477968265
31,120,2015-02-05T12:22:19.492857Z,6.98,1.0645399762156396
32,124,2015-02-06T09:57:55.672857Z,4.11,1.1697065297411846
33,126,2015-02-06T20:28:37.674286Z,4.73,2.114856644186652
34,127,2015-02-06T23:50:58.568571Z,4.84,1.347172132985495
35,135,2015-02-08T18:26:11.108571Z,5.61,1.2108078866209755
36,141,2015-02-10T10:33:51.145714Z,6.26,1.4491826043351352
37,143,2015-02-10T11:22:30.600000Z,4.55,1.0840989057893682
38,154,2015-02-11T19:57:52.994286Z,2.07,1.4997826939661756
39,155,2015-02-11T20:12:05.641429Z,2.02,1.023262999304115
40,157,2015-02-11T22:40:12.238571Z,2.11,1.405522238949394
41,170,2015-02-15T03:03:06.201429Z,2.09,1.3780948325109232
42,171,2015-02-15T03:08:14.847143Z,2.05,1.6905225890586766
43,176,2015-02-15T14:30:24.815714Z,5.77,1.2255497490096248
44,183,2015-02-16T06:30:48.091429Z,4.4,1.0094579230602445
45,187,2015-02-16T16:39:28.252857Z,2.08,1.071797321929412
46,188,2015-02-16T17:12:30.864286Z,6.83,1.079172938635332
47,194,2015-02-18T03:09:10.792857Z,5.65,1.5642067780220887
48,198,2015-02-18T17:08:48.462857Z,4.11,1.967936919008344
49,201,2015-02-19T01:19:22.744286Z,5.64,1.4717883146644644
50,202,2015-02-19T03:07:09.908571Z,5.61,1.539136056930857
51,204,2015-02-20T00:38:08.562857Z,5.79,1.4115659632015007
52,209,2015-02-20T08:33:00.542857Z,2.01,1.4608076357589703
53,210,2015-02-20T08:36:35.682857Z,2.01,1.4101103388002494
54,211,2015-02-20T09:01:56.488571Z,2.11,1.4700438547169408
55,214,2015-02-20T21:54:43.947143Z,5.27,1.3853962916124305
56,215,2015-02-20T22:09:36.162857Z,2.08,1.1540215240042628
57,216,2015-02-21T07:38:35.570000Z,5.18,1.4278678929007684
58,229,2015-02-24T14:38:20.790000Z,4.69,1.6591126748384577
59,232,2015-02-24T18:14:24.121429Z,4.19,1.8434693226126329
60,235,2015-02-25T06:15:23.844286Z,6.2,1.5650239514745596
61,238,2015-02-25T22:46:09.824286Z,3.96,1.4169910243242296
62,242,2015-02-26T16:31:23.298571Z,5.96,1.1131739369889373
63,252,2015-02-28T01:18:58.034286Z,4.1,1.7152057108819148
64,260,2015-03-08T23:35:21.602857Z,3.48,1.0658887736271767
65,263,2015-03-09T18:03:20.964286Z,3.47,1.1251469367464575
66,264,2015-03-09T19:49:59.350000Z,2.45,1.9023871162878945
67,265,2015-03-09T20:14:50.677143Z,2.47,1.6147897929340431
68,267,2015-03-10T07:22:34.688571Z,5.54,1.1398012420102757
69,277,2015-03-13T02:11:49.921429Z,5.38,1.8115366229719083
70,279,2015-03-13T23:26:44.011429Z,3.28,1.8743489679452057
71,281,2015-03-14T07:33:16.508571Z,1.76,1.0490624635473238
72,291,2015-03-16T13:09:06.952857Z,1.73,1.1083844026735812
73,296,2015-03-17T22:28:03.847143Z,4.22,2.0162961470194958
74,298,2015-03-17T23:41:05.658571Z,4.21,1.0252583581875634
75,300,2015-03-18T00:32:53.237143Z,6.32,1.3216805208867062
76,304,2015-03-18T23:19:49.737143Z,5.55,1.2299447689528042
77,305,2015-03-19T03:32:13.654286Z,3.47,1.1821230337959774
78,318,2015-03-21T10:39:43.214286Z,3.47,1.314326067325567
79,336,2015-03-24T14:49:52.582857Z,4.53,2.3465791389423942
80,337,2015-03-24T20:57:02.575714Z,3.46,1.0418331138649242
81,341,2015-03-25T13:53:15.928571Z,2.46,1.1308218596011608
82,342,2015-03-25T14:17:57.772857Z,2.57,1.8200801592573552
83,346,2015-03-27T02:32:32.478571Z,4.63,1.1226304333144508
84,347,2015-03-27T08:13:58.014286Z,3.47,1.3773956633223523
85,349,2015-03-27T08:49:12.018571Z,3.58,1.0135063339368364
86,354,2015-03-28T02:14:20.945714Z,6.4,1.0299322603314487
87,362,2015-03-29T15:38:10.558571Z,3.44,1.2308608760987072
88,368,2015-03-30T03:50:30.502857Z,5.44,1.4158272993451329
89,369,2015-03-30T06:05:34.077143Z,4.08,1.0103344151273208
90,370,2015-03-30T08:14:00.151429Z,5.38,1.1572951135168896
91,375,2015-03-31T12:53:05.297143Z,3.45,1.383806498059489
92,376,2015-03-31T14:33:08.517143Z,3.45,1.4392445242071976
93,389,2015-04-02T08:11:57.038571Z,3.44,1.0989786990368222
94,391,2015-04-02T19:11:58.494286Z,5.78,1.646295713817307
95,396,2015-04-03T09:41:24.000000Z,3.57,1.276421881390904
96,400,2015-04-04T03:46:58.384286Z,5.29,1.3875738965614652
97,401,2015-04-04T04:50:13.681429Z,2.23,1.0569124741120648
98,402,2015-04-04T05:25:53.375714Z,5.77,1.4374443944418154
99,405,2015-04-04T12:46:30.240000Z,6.86,1.419331038747328
100,406,2015-04-04T16:08:40.870000Z,3.5,1.6294338617089537
101,411,2015-04-05T10:26:01.955714Z,4.37,1.4183535989309153
102,412,2015-04-05T12:56:55.948571Z,3.44,1.9529997273365645
103,420,2015-04-06T10:20:26.764286Z,3.54,1.0914679702235552
104,430,2015-04-07T14:32:37.921429Z,3.56,1.4371019913159258
105,431,2015-04-07T15:44:03.252857Z,3.48,1.0610630339831364
106,433,2015-04-07T17:05:02.432857Z,3.48,1.3614781071904134
107,435,2015-04-08T12:52:07.912857Z,4.67,1.114237080254004
108,441,2015-04-09T06:52:54.665714Z,5.21,2.052962575217311
109,444,2015-04-09T22:13:44.340000Z,2.59,1.664306466531296
110,452,2015-04-10T21:38:32.422857Z,3.48,1.3602673976375144
