,id,time,pstime,mag
0,2,2015-01-03T13:47:15.818571Z,3.51,1.441046124823226
1,5,2015-01-05T04:04:10.725714Z,4.93,1.0176254529509368
2,6,2015-01-05T14:20:12.131429Z,6.64,1.5649848895268514
3,10,2015-01-09T07:19:48.394286Z,6.06,1.0680536700867012
4,12,2015-01-09T10:05:12.917143Z,5.48,1.5877355983170167
5,14,2015-01-10T23:29:03.132857Z,3.13,2.7241643539530305
6,16,2015-01-11T13:29:25.245714Z,6.12,1.217707957680234
7,18,2015-01-13T09:03:53.715714Z,6.19,1.0502297161351877
8,20,2015-01-14T07:56:53.555714Z,2.83,1.6545190634370948
9,25,2015-01-18T10:50:37.834286Z,6.34,1.170708095954701
10,26,2015-01-18T13:23:43.907143Z,4.92,3.6612084466446095
11,28,2015-01-18T17:34:12.131429Z,4.75,1.1244942817379049
12,29,2015-01-18T18:05:04.627143Z,2.75,1.1625592022896123
13,31,2015-01-19T10:19:29.114286Z,4.94,1.346687185323464
14,32,2015-01-19T16:36:45.927143Z,5.41,2.466272561127748
15,36,2015-01-21T11:32:59.864286Z,5.01,1.1769335235293328
16,37,2015-01-22T12:58:08.002857Z,2.92,1.0999909214498955
17,40,2015-01-24T10:59:57.264286Z,3.47,2.015577994945174
18,41,2015-01-25T20:19:03.721429Z,4.82,2.2179441292387083
19,42,2015-01-26T07:45:10.190000Z,6.72,1.7753951433218416
20,47,2015-01-27T16:20:58.320000Z,4.9,1.525881400821525
21,52,2015-02-01T11:01:15.068571Z,6.38,1.927762207768644
22,53,2015-02-03T18:56:20.355714Z,5.14,1.561128761744214
23,57,2015-02-06T12:00:40.397143Z,2.61,1.019640589803271
24,59,2015-02-06T20:28:36.861429Z,3.35,1.7148159767758815
25,60,2015-02-06T23:50:58.025714Z,3.25,1.0732263288858177
26,63,2015-02-07T14:05:58.914286Z,5.78,3.524368854900292
27,64,2015-02-07T14:11:54.737143Z,5.69,1.0767446060534311
28,66,2015-02-07T17:30:30.797143Z,2.26,1.1752151315512076
29,67,2015-02-07T18:46:17.288571Z,5.68,1.952116754859079
30,69,2015-02-08T18:26:10.422857Z,3.97,1.1367164330112636
31,70,2015-02-10T10:33:50.345714Z,4.79,1.6688803123127105
32,74,2015-02-11T22:40:12.311429Z,2.3,1.2142548054683198
33,77,2015-02-14T09:15:44.991429Z,5.73,1.1658613429335034
34,80,2015-02-16T14:30:48.747143Z,5.83,1.5945276940205084
35,83,2015-02-17T07:53:59.087143Z,5.62,1.088895093904118
36,86,2015-02-18T17:08:49.094286Z,5.64,1.9642444285928395
37,90,2015-02-22T09:42:59.252857Z,5.51,1.0043434432708307
38,93,2015-02-25T22:46:10.061429Z,5.94,1.7507786065729989
39,95,2015-02-26T01:09:24.694286Z,1.37,1.5494054307395182
40,97,2015-02-28T19:59:33.307143Z,4.29,1.7129565852525044
41,102,2015-03-02T08:24:58.910000Z,5.18,1.7421072737057566
42,105,2015-03-03T01:57:38.265714Z,2.76,1.0287575469321903
43,109,2015-03-05T21:41:55.890000Z,3.99,1.7794676323297187
44,110,2015-03-06T08:03:43.365714Z,4.3,1.23971430848193
45,117,2015-03-09T20:14:50.942857Z,3.62,1.7683644873392863
46,118,2015-03-11T05:09:53.384286Z,6.48,1.2038600882049066
47,119,2015-03-13T02:11:49.481429Z,3.7,1.0734843767139104
48,120,2015-03-13T10:56:09.510000Z,4.83,1.07060511105274
49,124,2015-03-17T22:28:03.675714Z,2.62,1.3303947727146197
50,128,2015-03-19T03:32:13.135714Z,1.78,1.510719557411499
51,131,2015-03-20T09:31:48.551429Z,3.98,1.0357597581087374
52,136,2015-03-21T16:01:27.278571Z,6.31,1.9703669908205943
53,137,2015-03-22T04:37:37.798571Z,6.59,1.1557931646371988
54,142,2015-03-22T21:04:18.832857Z,5.79,2.00507748507278
55,144,2015-03-23T06:30:19.070000Z,5.95,1.001734988740941
56,146,2015-03-23T13:33:06.071429Z,4.4,1.1307907416465195
57,148,2015-03-24T14:49:52.780000Z,5.95,1.7119957801596994
58,160,2015-04-02T19:11:57.901429Z,4.12,1.7124959688000336
59,161,2015-04-03T12:24:47.128571Z,4.42,1.072752229442396
60,162,2015-04-03T22:56:45.082857Z,6.21,1.3113240658076868
61,164,2015-04-04T10:15:51.990000Z,4.27,1.1824580033944443
