,id,time,pstime,mag
0,0,2015-01-04T09:47:07.414286Z,5.36,1.31797165980264
1,1,2015-01-04T17:03:43.284286Z,6.55,1.7479020631167923
2,2,2015-01-05T04:04:11.114286Z,5.71,2.021789820344329
3,4,2015-01-06T10:54:04.658571Z,6.52,2.616036094639274
4,6,2015-01-08T15:06:00.574286Z,2.28,1.2349676977953583
5,7,2015-01-08T15:26:10.988571Z,2.25,1.5201229119517
6,10,2015-01-10T07:21:44.255714Z,5.07,1.052342516300781
7,11,2015-01-10T19:42:21.551429Z,5.52,1.598252295025852
8,12,2015-01-10T23:29:02.992857Z,2.15,2.4715497132356528
9,15,2015-01-12T07:49:20.638571Z,5.4,1.1293026145760037
10,18,2015-01-18T13:23:43.728571Z,3.16,3.53934841951244
11,23,2015-01-20T10:14:20.794286Z,5.01,1.9923435653522972
12,25,2015-01-25T20:19:03.475714Z,3.18,2.044162205661822
13,26,2015-01-28T04:38:15.962857Z,4.67,1.267381065404832
14,27,2015-01-28T08:01:45.710000Z,4.06,1.7176777095943687
15,32,2015-01-30T22:56:51.308571Z,1.55,1.104703762461459
16,33,2015-01-31T10:40:23.337143Z,3.45,1.471811169869198
17,35,2015-02-03T01:08:00.904286Z,4.45,1.1067382976527291
18,36,2015-02-03T18:56:20.040000Z,3.71,1.2915684730437311
19,38,2015-02-06T20:28:36.675714Z,1.92,2.083015169387824
20,39,2015-02-06T20:58:43.182857Z,1.87,1.1296650947882094
21,40,2015-02-07T17:30:31.062857Z,2.57,1.3321666241186365
22,41,2015-02-09T03:50:14.117143Z,1.35,1.0226134069157218
23,44,2015-02-11T12:59:44.884286Z,6.06,1.0099471713455035
24,45,2015-02-11T13:19:05.818571Z,5.89,1.136941658024697
25,46,2015-02-11T19:57:53.707143Z,3.52,1.6651339856994436
26,47,2015-02-11T21:19:10.790000Z,4.9,1.2930569586516023
27,48,2015-02-11T22:40:12.954286Z,3.54,1.6058614697815898
28,49,2015-02-15T00:55:44.677143Z,5.34,1.201765578434809
29,50,2015-02-15T03:03:06.911429Z,3.56,1.1531370534303784
30,51,2015-02-15T03:08:15.462857Z,3.55,1.7136915220194533
31,52,2015-02-15T19:43:43.825714Z,6.19,1.039994466871442
32,54,2015-02-17T12:45:29.995714Z,4.09,1.127477934404192
33,59,2015-02-18T17:08:49.787143Z,6.81,2.522627857185318
34,60,2015-02-18T18:36:57.681429Z,6.36,1.4865012375679016
35,63,2015-02-20T22:09:36.882857Z,3.55,1.1990192623271478
36,64,2015-02-21T11:55:00.822857Z,2.22,1.1405564620443822
37,66,2015-02-25T16:24:09.151429Z,2.02,1.5552014778811352
38,67,2015-02-25T16:41:12.018571Z,1.62,1.4234933430639427
39,70,2015-02-26T01:09:24.311429Z,2.58,1.7696032351591116
40,75,2015-03-01T22:11:08.311429Z,1.32,1.0653076087076685
41,76,2015-03-02T08:24:59.322857Z,6.91,2.0075215746161112
42,77,2015-03-03T08:34:01.672857Z,4.04,1.7524039685759305
43,81,2015-03-03T21:43:18.800000Z,1.89,1.1394509329093352
