,id,time,pstime,mag,amp,p_prob,s_prob,mod_amp,amp_time1,p_time,s_time
0,0,2015-01-04T09:47:07.414286Z,5.36,1.31797165980264,1402.0,0.9086366,0.6464042,0.0827888137516434,2015-01-04T09:47:19.310000Z,2015-01-04T09:47:13.540000Z,2015-01-04T09:47:18.900000Z
1,1,2015-01-04T17:03:43.284286Z,6.55,1.7479020631167923,2207.0,0.8996152,0.6311516,0.1405730484903323,2015-01-04T17:03:57.780000Z,2015-01-04T17:03:50.770000Z,2015-01-04T17:03:57.320000Z
2,2,2015-01-05T04:04:11.114286Z,5.71,2.021789820344329,5430.0,0.86893755,0.7362865,0.4185909362680661,2015-01-05T04:04:23.790000Z,2015-01-05T04:04:17.640000Z,2015-01-05T04:04:23.350000Z
3,3,2015-01-05T10:00:31.082857Z,1.24,0.5816107758564528,7157.0,0.7537434,0.7426601,0.1519185392503752,2015-01-05T10:00:33.880000Z,2015-01-05T10:00:32.500000Z,2015-01-05T10:00:33.740000Z
4,4,2015-01-06T10:54:04.658571Z,6.52,2.616036094639274,15202.0,0.8802322,0.654971,1.0376146494031242,2015-01-06T10:54:19.370000Z,2015-01-06T10:54:12.110000Z,2015-01-06T10:54:18.630000Z
5,5,2015-01-08T15:02:42.342857Z,2.22,0.3002062444824773,2457.0,0.7062595,0.68197477,0.063125705442521,2015-01-08T15:02:47.270000Z,2015-01-08T15:02:44.880000Z,2015-01-08T15:02:47.100000Z
6,6,2015-01-08T15:06:00.574286Z,2.28,1.2349676977953583,21143.0,0.80464447,0.766841,0.5432099268096146,2015-01-08T15:06:05.620000Z,2015-01-08T15:06:03.180000Z,2015-01-08T15:06:05.460000Z
7,7,2015-01-08T15:26:10.988571Z,2.25,1.5201229119517,49345.0,0.8772143,0.635121,1.0474249433156022,2015-01-08T15:26:16.000000Z,2015-01-08T15:26:13.560000Z,2015-01-08T15:26:15.810000Z
8,8,2015-01-09T11:02:02.881429Z,1.46,0.815304928648814,9737.0,0.9162491,0.80322456,0.2066830818332965,2015-01-09T11:02:06.380000Z,2015-01-09T11:02:04.550000Z,2015-01-09T11:02:06.010000Z
9,9,2015-01-09T18:23:46.937143Z,5.48,0.9488016488429474,1013.0544995190428,0.8192333,0.71068716,0.0353835700185213,2015-01-09T18:23:52.190000Z,2015-01-09T18:23:53.200000Z,2015-01-09T18:23:58.680000Z
10,10,2015-01-10T07:21:44.255714Z,5.07,1.052342516300781,1748.0,0.88426244,0.78663635,0.0449099442871497,2015-01-10T07:21:55.770000Z,2015-01-10T07:21:50.050000Z,2015-01-10T07:21:55.120000Z
11,11,2015-01-10T19:42:21.551429Z,5.52,1.598252295025852,6144.0,0.94721866,0.53304434,0.1578528018880136,2015-01-10T19:42:33.640000Z,2015-01-10T19:42:27.860000Z,2015-01-10T19:42:33.380000Z
12,12,2015-01-10T23:29:02.992857Z,2.15,2.4715497132356528,441235.0,0.93478644,0.5689403,9.365904242858642,2015-01-10T23:29:07.790000Z,2015-01-10T23:29:05.450000Z,2015-01-10T23:29:07.600000Z
13,13,2015-01-10T23:40:37.197143Z,2.05,0.8774528353976584,11235.0,0.8508805,0.85534865,0.2384804790384191,2015-01-10T23:40:41.850000Z,2015-01-10T23:40:39.540000Z,2015-01-10T23:40:41.590000Z
14,14,2015-01-12T01:30:19.342857Z,1.17,-0.1310437802842046,1387.0,0.86805874,0.8172977,0.0294412482800433,2015-01-12T01:30:22.050000Z,2015-01-12T01:30:20.680000Z,2015-01-12T01:30:21.850000Z
15,15,2015-01-12T07:49:20.638571Z,5.4,1.1293026145760037,1082.0,0.9007658,0.5635956,0.0536170128481574,2015-01-12T07:49:32.450000Z,2015-01-12T07:49:26.810000Z,2015-01-12T07:49:32.210000Z
16,16,2015-01-16T23:19:24.458571Z,2.95,0.6471930805821704,990.0,0.7531514,0.5416442,0.0885509205972227,2015-01-16T23:19:31.070000Z,2015-01-16T23:19:27.830000Z,2015-01-16T23:19:30.780000Z
17,17,2015-01-18T12:56:54.425714Z,1.29,-0.0013049799772417,1876.0,0.9100685,0.5165119,0.0315278982327021,2015-01-18T12:56:57.520000Z,2015-01-18T12:56:55.900000Z,2015-01-18T12:56:57.190000Z
18,18,2015-01-18T13:23:43.728571Z,3.16,3.53934841951244,772308.0,0.95868707,0.7650503,69.0793781662625,2015-01-18T13:23:50.870000Z,2015-01-18T13:23:47.340000Z,2015-01-18T13:23:50.500000Z
19,19,2015-01-18T15:52:25.664286Z,3.12,0.8260477726296742,7954.0,0.9561583,0.51874423,0.1336742550868407,2015-01-18T15:52:32.930000Z,2015-01-18T15:52:29.230000Z,2015-01-18T15:52:32.350000Z
20,20,2015-01-18T17:34:11.800000Z,3.15,0.5211735273078435,3121.0,0.9123993,0.70257014,0.0662481152718207,2015-01-18T17:34:19.080000Z,2015-01-18T17:34:15.400000Z,2015-01-18T17:34:18.550000Z
21,21,2015-01-18T17:51:47.954286Z,5.57,0.8507313996095964,1330.0,0.71498257,0.51320946,0.0282313339671648,2015-01-18T17:52:00.450000Z,2015-01-18T17:51:54.320000Z,2015-01-18T17:51:59.890000Z
22,22,2015-01-19T08:43:46.857143Z,2.26,0.5762295192399872,5615.0,0.86321723,0.52408975,0.119187173101978,2015-01-19T08:43:52.020000Z,2015-01-19T08:43:49.440000Z,2015-01-19T08:43:51.700000Z
23,23,2015-01-20T10:14:20.794286Z,5.01,1.9923435653522972,8745.0,0.946789,0.6805323,0.3911502078447055,2015-01-20T10:14:31.790000Z,2015-01-20T10:14:26.520000Z,2015-01-20T10:14:31.530000Z
24,24,2015-01-21T05:46:08.947143Z,2.33,0.9175257162158256,12321.0,0.75789535,0.75963944,0.2615325306837883,2015-01-21T05:46:14.200000Z,2015-01-21T05:46:11.610000Z,2015-01-21T05:46:13.940000Z
25,25,2015-01-25T20:19:03.475714Z,3.18,2.044162205661822,23680.0,0.9512038,0.5436243,2.2088295598946317,2015-01-25T20:19:10.580000Z,2015-01-25T20:19:07.110000Z,2015-01-25T20:19:10.290000Z
26,26,2015-01-28T04:38:15.962857Z,4.67,1.267381065404832,2154.0,0.80421066,0.61824024,0.1470215731360564,2015-01-28T04:38:26.450000Z,2015-01-28T04:38:21.300000Z,2015-01-28T04:38:25.970000Z
27,27,2015-01-28T08:01:45.710000Z,4.06,1.7176777095943687,16138.999999999998,0.942567,0.77667487,0.4146462190219159,2015-01-28T08:01:54.970000Z,2015-01-28T08:01:50.350000Z,2015-01-28T08:01:54.410000Z
28,28,2015-01-28T18:07:32.962857Z,1.73,0.2087550510966458,1032.0,0.74045503,0.5330959,0.0511393320326233,2015-01-28T18:07:37.210000Z,2015-01-28T18:07:34.940000Z,2015-01-28T18:07:36.670000Z
29,29,2015-01-28T21:33:29.840000Z,1.54,0.1587118030787593,2147.0,0.79607964,0.632884,0.0455734391184233,2015-01-28T21:33:33.250000Z,2015-01-28T21:33:31.600000Z,2015-01-28T21:33:33.140000Z
30,30,2015-01-29T01:05:06.137143Z,1.98,0.9883076594338048,14502.0,0.80975807,0.87454,0.3078276730765601,2015-01-29T01:05:10.540000Z,2015-01-29T01:05:08.400000Z,2015-01-29T01:05:10.380000Z
31,31,2015-01-29T02:28:54.160000Z,2.59,0.2910728595618579,1518.0,0.74434054,0.7429763,0.0390007410914721,2015-01-29T02:29:00.050000Z,2015-01-29T02:28:57.120000Z,2015-01-29T02:28:59.710000Z
32,32,2015-01-30T22:56:51.308571Z,1.55,1.104703762461459,15664.0,0.86714566,0.5167289,0.4024424298134513,2015-01-30T22:56:54.860000Z,2015-01-30T22:56:53.080000Z,2015-01-30T22:56:54.630000Z
33,33,2015-01-31T10:40:23.337143Z,3.45,1.471811169869198,16850.0,0.816423,0.6770075,0.5913044805977035,2015-01-31T10:40:31.050000Z,2015-01-31T10:40:27.280000Z,2015-01-31T10:40:30.730000Z
34,34,2015-02-02T23:10:10.997143Z,1.63,0.301316064337676,2084.0,0.89389634,0.6037127,0.0632872266124256,2015-02-02T23:10:14.660000Z,2015-02-02T23:10:12.860000Z,2015-02-02T23:10:14.490000Z
35,35,2015-02-03T01:08:00.904286Z,4.45,1.1067382976527291,1488.0,0.88941205,0.7765802,0.101563649408752,2015-02-03T01:08:10.800000Z,2015-02-03T01:08:05.990000Z,2015-02-03T01:08:10.440000Z
36,36,2015-02-03T18:56:20.040000Z,3.71,1.2915684730437311,5369.0,0.8972324,0.6897135,0.3904527383897402,2015-02-03T18:56:28.460000Z,2015-02-03T18:56:24.280000Z,2015-02-03T18:56:27.990000Z
37,37,2015-02-04T09:53:40.715714Z,1.99,0.881416211297462,11338.0,0.82372385,0.795573,0.2406668154283574,2015-02-04T09:53:45.110000Z,2015-02-04T09:53:42.990000Z,2015-02-04T09:53:44.980000Z
